Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
Think and Grow Rich,₹213,₹450,52% off,4.5,"(72,752)"
Think and Grow Rich,₹331,₹400,17% off,4.5,"(72,752)"
You Can (Malayalam),₹183,₹193,5% off,4.2,(45)
Surrounded by Idiots,₹403,₹599,32% off,4.5,(196)
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
The Power of Your Subconscious Mind  - Unlock Your Mast...,₹191,₹199,4% off,4.5,"(65,460)"
The Monk Who Sold His Ferrari,₹230,₹275,16% off,4.4,(491)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
A Little Book of Happiness,₹315,₹350,10% off,4.4,(753)
"I'm Ok, You're Ok",₹449,₹499,10% off,4.2,(322)
Textbook Of Applied Psychology & Sociology For B.Sc Nur...,₹595,₹600,N/A,N/A,N/A
Influence,₹559,₹699,20% off,4.2,(80)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
Statistics in Psychology and Education Sixth Edition,₹245,₹350,30% off,4.4,(207)
Think and Grow Rich,₹278,₹400,30% off,N/A,N/A
The Power of Your Subconscious Mind,₹188,₹250,24% off,4.5,(86)
Games People Play,₹199,₹499,60% off,4.2,(677)
Think and Grow Rich,₹220,₹250,12% off,4.5,"(72,752)"
The Comfort Crisis,₹599,"₹1,745",65% off,4.7,(9)
The Power Of Your Subconscious Mind (Marathi),₹189,₹199,5% off,4.4,(484)
Emotional Intelligence,₹839,₹999,16% off,4.4,"(2,628)"
Find Your Why,₹559,₹999,44% off,4.7,(151)
As a Man Thinketh (மனிதனின் எண்ணங்கள்),₹128,₹150,14% off,4.1,(62)
As a Man Thinketh (மனிதனின் எண்ணங்கள்),₹149,₹175,14% off,4.1,(62)
Psychology and Sociology for Nursing (Manovigyan avam S...,₹310,₹395,21% off,4.3,(11)
Neelkanth - Applied Psychology (PSYC 120) - I Semester,₹297,₹320,7% off,4.7,(7)
The Psychology of Screenwriting,₹494,₹499,1% off,4.3,(16)
Moonwalking with Einstein,₹235,"₹1,799",86% off,4.3,(708)
Man Ki Uljhan Kaise Suljhaye 1 Edition,₹208,₹250,16% off,4.3,(290)
Games People Play,₹195,"₹1,299",84% off,4.2,(677)
Think and Grow Rich  - Think and Grow Rich,₹220,₹300,26% off,4.5,"(72,752)"
Mindset  - Mindset with 2 Disc,₹204,₹399,48% off,4.5,"(2,473)"
The Monk Who Sold His Ferrari,₹165,₹199,17% off,4.4,(322)
Mahan Banne ki Kala (महान बनने की कला),₹149,₹175,14% off,4.3,(29)
Psycho-Cybernetics,₹897,₹975,8% off,4.4,(190)
Leadership: The Brian Tracy Success Library (Telugu),₹143,₹150,4% off,4.1,(9)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
The Art of Happiness,₹399,₹499,20% off,4.5,(671)
Power of Positive Thinking,₹211,N/A,N/A,4.4,(611)
Arthachya Shodhat,₹150,N/A,N/A,4.4,(314)
Dale Carnegie : How to Stop Worrying and Start Living,₹191,N/A,N/A,4.5,(19)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Sabse Mushkil Kaam Sabse Pahle,₹178,₹225,20% off,4.5,"(1,992)"
The Practicing Mind,₹270,₹275,1% off,4.5,(271)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
Statistics for Economics Class 11 for 2020 Exam  - As P...,₹200,₹206,2% off,4.4,(66)
Shiksha Manovigyan Avam Shiksha Shastra  - Educational ...,₹140,₹380,63% off,4,(17)
Psychology 1 Edition,₹306,₹340,10% off,3.8,(102)
How to Develop Self Confidence and Improve Public Speak...,₹228,₹275,17% off,4.2,(53)
Think and Grow Rich,₹220,₹250,12% off,4.5,"(72,752)"
Meditations,₹195,₹225,13% off,4.4,"(2,322)"
Grit,₹399,₹599,33% off,4.4,(542)
Leader in You,₹203,₹300,32% off,4.6,(31)
Megaliving,₹275,₹299,8% off,4.5,"(1,392)"
The Leader in You,₹143,₹150,4% off,4.4,(345)
Create This Book 2,₹397,"₹1,524",73% off,4.3,(99)
Hints For Self Culture,₹360,₹399,9% off,4.5,(218)
